x,y,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
-73.90275776,40.90373779,NYPL57,NYPL,Other,212-340-0903,,,718-549-1212,,Riverdale Branch,5540,Mosholu Avenue,Bronx,10471,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverdale Branch",5540 Mosholu Avenue,"Bronx, NY 10471"
-73.91756999,40.84950596,NYPL58,NYPL,Other,212-340-0903,,,718-731-2074,,Sedgwick Branch,1701,Martin Luther King Jr. Blvd.,Bronx,10453,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Sedgwick Branch",1701 Martin Luther King Jr. Blvd.,"Bronx, NY 10453"
-73.86289815,40.81872411,NYPL59,NYPL,Other,212-340-0903,,,718-589-0880,,Soundview Branch,660,Soundview Avenue,Bronx,10473,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Soundview Branch",660 Soundview Avenue,"Bronx, NY 10473"
-73.9146312,40.88624159,NYPL60,NYPL,Other,212-340-0903,,,718-796-1202,,Spuyten Duyvil Branch,650,West 235th Street,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Spuyten Duyvil Branch",650 West 235th Street,"Bronx, NY 10463"
-73.81911187,40.82288852,NYPL61,NYPL,Other,212-340-0903,,,718-792-2612,,Throg's Neck Branch,3025,Cross Bronx Exp. Ext.,Bronx,10465,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Throg's Neck Branch",3025 Cross Bronx Exp. Ext.,"Bronx, NY 10465"
-73.89834944,40.84604328,NYPL62,NYPL,Other,212-340-0903,,,718-299-5177,,Tremont Branch,1866,Washington Avenue,Bronx,10457,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tremont Branch",1866 Washington Avenue,"Bronx, NY 10457"
-73.89392835,40.88275514,NYPL63,NYPL,Other,212-340-0903,,,718-543-5150,,Van Cortlandt Branch,3874,Sedgwick Avenue,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Cortlandt Branch",3874 Sedgwick Avenue,"Bronx, NY 10463"
-73.86417199,40.85486252,NYPL64,NYPL,Other,212-340-0903,,,718-829-5864,,Van Nest Branch,2147,Barnes Avenue,Bronx,10462,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Nest Branch",2147 Barnes Avenue,"Bronx, NY 10462"
-73.85954071,40.89111716,NYPL65,NYPL,Other,212-340-0903,,,718-652-4663,,Wakefield Branch,4100,Lowerre Place,Bronx,10466,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Wakefield Branch",4100 Lowerre Place,"Bronx, NY 10466"
-73.88307746,40.84470311,NYPL66,NYPL,Other,212-340-0903,,,718-367-5376,,West Farms Branch,2085,Honeywell Avenue,Bronx,10460,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West Farms Branch",2085 Honeywell Avenue,"Bronx, NY 10460"
