X,Y,OBJECTID,DACRID,FOLIO,NAME,ADDRESS,CITY,ZIPCODE,CONTACT,PHONE,DCOUNSELOR,LICNUM,LICDATE,LICEXP,CAPACITY,LAT,LON,POINT_X,POINT_Y
-80.287865765552468,25.949981643772219,1, ,3021060141680,Charles D. Wyche Jr. Elementary School,5241 NW 195TH DR,Miami-Dade,33055, ,305-628-5776, ,EXEMPT,,,0,25.94998,-80.28786,890170.91585483,588145.813251242
-80.292187758912021,25.709284217724029,2, ,0940250630060,St. Albans Day Nursery Inc,6060 SW 66TH ST,South Miami,33143, ,305-667-2664, ,C11MD0196,2000-02-10T00:00:00.000Z,2011-02-09T00:00:00.000Z,0,25.70928,-80.29219,889221.594590746,500653.201491408
-80.327520781655593,25.934633664661504,3, ,3020100000015,Early Years Academy,17790 NW 78TH AVE,Miami-Dade,33015, ,305-824-3500, ,C11MD0896,2004-01-26T00:00:00.000Z,2010-07-30T00:00:00.000Z,0,25.93463,-80.32752,877168.763053414,582498.409847908
-80.391296367129499,25.505738027101771,4, ,3079010010010,CAA: Com. Partnership Homeless Headstart,28205 SW 125TH AVE,Miami-Dade,33033, ,305-416-7156, ,C11MD0443,1998-11-21T00:00:00.000Z,2010-11-20T00:00:00.000Z,0,25.50573,-80.39129,856928.000057328,426511.937372655
-80.238303726949113,25.738517679762577,5, ,0141160280220,Coconut Grove Montessori School,2850 SW 27TH AVE,Miami,33133, ,305-444-4484, ,C11MD0468,1998-11-16T00:00:00.000Z,2010-11-15T00:00:00.000Z,0,25.73851,-80.2383,906902.749845162,511377.156093322
-80.429907302818947,25.734926884094154,6, ,3049150340010,G. Holmes Braddock High : Home,3601 SW 147TH AVE,Miami-Dade,33185,Manuel Garcia,305-225-9729, ,EXEMPT,,,0,25.73492,-80.4299,843834.812661078,509753.718723409
-80.255310758570502,25.89577605848028,7, ,0821280070220,Alliance For Musical Arts,13400 ALEXANDRIA DR,Opa-Locka,33054, ,305-688-0200, ,EXEMPT,2009-11-05T00:00:00.000Z,2010-11-05T00:00:00.000Z,0,25.89577,-80.25531,900980.625534579,568503.187510327
-80.479866142554627,25.463037231271699,8, ,1078130000690,"Le Jardin Community Center, Inc. II",107 SW 8TH ST,Homestead,33030,Zuilan Navarrete,305-248-5336, ,C11MD0422,1998-11-02T00:00:00.000Z,2011-11-01T00:00:00.000Z,0,25.46303,-80.47986,827776.312297829,410868.875154905
-80.311211608059267,25.878173070851481,9, ,0420350090690,Barrios Family Day Care Home,1396 W 60TH TER,Hialeah,33012,Leonor Barrios,305-456-1616, ,F11MD0822,2009-07-02T00:00:00.000Z,2011-07-01T00:00:00.000Z,0,25.87817,-80.31121,882636.499493245,562004.688368239
-80.349046294240338,25.57310939611833,10, ,3660080000090,Mays Mid@Gulfstream Elementary,20900 SW 97TH AVE,Cutler bay,33189, ,305-235-6811, , ,,,0,25.5731,-80.34904,870743.187649995,451063.84364932
-80.393411939149473,25.541317151434114,11, ,3069240001180,YMCA / Coconut Palm  Elementary  A/S,24400 SW 124TH AVE,Miami-Dade,33032, ,305-257-0500, ,EXEMPT,,,0,25.54131,-80.39341,856171.243368745,439439.790453903
-80.262732460683182,25.735233707568362,12, ,0341170042950,ICS Coral Gables Inc,414 VELARDE AVE,Coral Gables,33134,Johanna Escalante,305-445-8918, ,C11MD1775,2010-02-10T00:00:00.000Z,2011-02-09T00:00:00.000Z,0,25.73523,-80.26273,898867.687831327,510137.875435405
-80.244919584556357,25.941533383937038,13, ,3421030060100,Kids Haven Academy,18373 NW 27TH AVE,Miami Gardens,33056, ,305-621-0990, ,C11MD1352,2005-12-13T00:00:00.000Z,2010-12-12T00:00:00.000Z,0,25.94153,-80.24492,904300.988316413,585154.177174158
-80.335165875914768,25.86892913394983,14, ,2730030250040,Perez and Senra/Growing Treasures Learning Center II,8318 NW 103RD ST,Hialeah Gardens,33016, ,305-558-0133, ,C11MD1392,2006-04-28T00:00:00.000Z,2011-04-27T00:00:00.000Z,0,25.86892,-80.33516,874777.290802244,558604.237163909
-80.354442233403546,25.602962454324736,15, ,3050320300020,CAA: Perrine Head Start,17801 HOMESTEAD AVE,Miami-Dade,33157, ,305-254-5809, ,C11MD0342,1977-03-31T00:00:00.000Z,2011-04-25T00:00:00.000Z,0,25.60296,-80.35444,868911.661129329,461905.233383827
-80.248710370850773,25.825748024480603,16, ,3031160091550,Sasame Street Child Care,5605 NW 32ND AVE,Miami-Dade,33147, ,305-634-1632, ,C11MD1017,1988-09-06T00:00:00.000Z,2010-09-06T00:00:00.000Z,0,25.82574,-80.24871,903296.134026911,543062.61207924
-80.33894679152084,25.684450393185379,17, ,3050040000060,Baptist Hospital Early Learning Center,8900 N KENDALL DR,Miami-Dade,33176,Iris L Gomez,786-596-2210, ,C11MD0277,1998-12-11T00:00:00.000Z,2010-12-10T00:00:00.000Z,0,25.68445,-80.33894,873870.447471578,491547.423115075
-80.455624450639149,25.500355267782318,18, ,3079050000164,Creative Kids Academy,16325 SW 288TH ST,Miami-Dade,33033,Yedel Fernandez,305-245-2720, ,C11MD0025,2003-06-25T00:00:00.000Z,2010-06-24T00:00:00.000Z,0,25.50035,-80.45562,835719.125152327,424463.687532157
-80.283366744793085,25.831513109931393,19, ,0431180120100,Lincoln-Marti Commun Agency/ I-90W (Lm8),90 W 11TH ST,Hialeah,33010,Julia Blasco,305-883-1222, ,C11MD0740,1987-06-26T00:00:00.000Z,2011-06-25T00:00:00.000Z,0,25.83151,-80.28336,891884.499369912,545094.394432992
-80.299680392897827,25.861698175506561,20, ,0430010010330,YMCA / Meadowlane Elementary A/S (EP),4280 W 8TH AVE,Hialeah,33012, , , ,EXEMPT,,,0,25.86169,-80.29968,886459.937384412,556036.687508993
-80.323307489835287,25.783270032831393,21, ,3530340010010,YMCA / Pinecrest Park (EP),1200 NW 78TH AVE,Doral,33126, , , , ,,,0,25.78327,-80.3233,878836.853877328,527490.277410321
-80.278462120309925,25.742901302049106,22,DACR354,0341180031440,Coral Gables Congregational Early Childhood Center,3010 DE SOTO BLVD,Coral Gables,33134,Barbara Watson,305-444-9792, ,C11MD0107,1991-04-05T00:00:00.000Z,2011-04-03T00:00:00.000Z,104,25.7429,-80.27846,893674.247758914,512896.117622323
-80.174878956051515,25.966502049000159,23, ,3012320000091,Michael Krop@  Madie Ives Elementary,20770 NE 14TH AVE,Miami-Dade,33179,Tanya R. Brown-Major,305-651-3155, , ,,,0,25.9665,-80.17488,927261.375138328,594368.562616743
-80.245659196275867,25.877939575303653,24, ,3021330010020,Mdc / School Of Education's Pre-School Lab,11380 NW 27TH AVE,Miami-Dade,33167,Dr. Susan Neimand,305-237-6152, ,C11MD1451,1986-11-27T00:00:00.000Z,2010-09-24T00:00:00.000Z,0,25.87793,-80.24566,904190.910780661,562038.300177656
-80.220285979241964,25.895821378392849,25, ,0621260000030,Benjamin Franklin Elementary School,13100 NW 12TH AVE,North Miami,33168,Mary A Gil-Alonzo,305-681-3547, ,EXEMPT,,,0,25.89582,-80.22028,912495.187807247,568586.562343575
