"index","longitude","latitude","branch","address","city","zipcode","phone-number","workdays","hours-open"
"1",-80.1207405256917,25.8608909493431,"North Shore","7501 COLLINS AVE","Miami Beach",33141,"305 864-5392","Mon, Tues, Fri, Sat.","10:00am - 6:00pm"
"2",-80.1377091336735,25.7702577399978,"South Shore","131 ALTON RD","Miami Beach",33139,"305 535-4223","Mon, Tues, Thurs, Sat.","10:00am - 6:00pm"
"3",-80.287686100699,25.8215105205629,"Miami Springs","401 WESTWARD DR","Miami Springs",33166,"305-805-3811","Mon, Wed, Thurs, Sat.","10:00am - 6:00pm"
"4",-80.2514489191304,25.9019612708523,"Opa-Locka","780 FISHERMAN ST","Opa-Locka",33054,"305-688-1134","Mon - Fri","10:00am - 6:00pm"
"5",-80.2285606514798,25.7548200120862,"Shenandoah","2111 SW 19TH ST","Miami",33145,"305-250-4688","Mon, Wed, Sat.","10:00am - 6:00pm"
"6",-80.4307371862413,25.5063203983071,"Naranja","14850 SW 280TH ST","Miami",33032,"305-242-2290","Mon, Wed, Fri, Sat.","10:00am - 6:00pm"
"7",-80.2507455050253,25.730756416789,"Virrick Park ","3255 PLAZA ST","Miami",33133,"305 442-7872","Mon, Fri, Sat.","10:00am - 6:00pm"
"8",-80.3692664747672,25.702496891973,"Sunset","10855 SW 72ND ST","Miami",33173,"305 270-6368","Mon, Thurs, Sat.","10:00am - 6:00pm"
"9",-80.3760720035619,25.7332155403022,"Concord","3882 SW 112TH AVE","Miami-Dade",33165,"305-207-1344","Mon, Wed, Thurs, Sat.","10:00am - 6:00pm"
"10",-80.265863455961,25.739728248947,"Coral Gables","3443 SEGOVIA ST","Coral Gables",33134,"305-442-8706","Mon, Fri, Sat, Sun","10:00am - 6:00pm"
"11",-80.1972220047151,25.7746124820722,"Main Library","101 W FLAGLER ST","Miami",33130,"305-375-2665","Mon,Tue,Wed,Fri,Sat","10:00am - 6:00pm"
"12",-80.1937533506883,25.8473329339112,"Little River","160 NE 79TH ST","Miami-Dade",33138,"305-751-8689","Mon - Sat","10:00am - 6:00pm"
"13",-80.2867740223264,25.6688601625486,"Pinecrest","5835 SW 111TH ST","Pinescrest",33156,"305-668-4571","Mon, Thurs","12:00pm - 8:00pm"
"14",-80.3622496738958,25.7843306209278,"International Mall","10315 NW 12TH ST","Doral",33172,"305-594-2514","Mon, Wed, Fri, Sat.","10:00am - 6:00pm"
"15",-80.1288016647933,25.7980372089511,"Miami Beach Regional","227 22ND ST","Miami Beach",33139,"305-535-4219","Mon, Tues.","12:00pm - 8:00pm"
"16",-80.2332857826878,25.8250737317039,"Model City","2211 NW 54TH ST","Miami",33142,"305-636-2233","Mon - Fri.","9:00am - 5:00pm"
"17",-80.2403857433,25.7268040680692,"Coconut Grove","2875 MCFARLAND RD","Miami",33133,"305-442-8695","Mon, Wed, Thurs, Sat.","10:00am - 6:00pm"
"18",-80.2176455494493,25.7720669909936,"Hispanic","1398 SW 1ST ST","Miami",33135,"305-643-8574","Mon,Wed","12:00pm - 8:00pm"
"19",-80.4408287649217,25.7271980875086,"Lakes of The Meadow","4284 SW 152ND AVE","Miami-Dade",33185,"305-222-2149","Mon, Tues, Thurs, Sat.","10:00am - 6:00pm"
"20",-80.2773613840496,25.7709922099374,"West End Flagler","5050 W FLAGLER ST","Miami",33134,"305 442-8710","Mon, Wed,Fri,Sat, Sun","10:00am - 6:00pm"
"21",-80.2256504674888,25.8087614841707,"Allapattah","1799 NW 35TH ST","Miami",33142,"305-638-6086","Mon - Thurs, Sat","10:00am - 6:00pm"
"22",-80.3505180670524,25.6855607399,"Kendall","9101 SW 97TH AVE","Miami-Dade",33176,"305-279-0520","Mon, Wed,","12:00pm - 8:00pm"
"23",-80.1972590799835,25.9269326158507,"Golden Glades","100 NE 166TH ST","Miami-Dade",33162,"305-787-1544","Mon, Tues","12:00pm - 8:00pm"
"24",-80.1883957363501,25.9602071760077,"California Club ","700 Ives Dairy Rd","Miami",33179,"305-770-3161","Mon, Thurs, Sat","10:00am - 6:00pm"
"25",-80.4406888397398,25.6730536112947,"West Kendall Regional","10201 HAMMOCKS BLVD","Miami",33196,"305 385-7135","Mon, Thurs","12:00pm - 8:00pm"
"26",-80.4130037481351,25.6239124129676,"Country Walk","15433 SW 137TH AVE","Miami-Dade",33177,"786-293-4577","Mon, Thurs., Fri, Sat","10:00am - 6:00pm"
"27",-80.2993462573414,25.7629822646398,"Fairlawn","6376 SW 8TH ST","West Miami",33144,"305-261-1571","Mon, Thurs, Fri, Sat.","10:00am - 6:00pm"
"28",-80.3411036204669,25.8761507332974,"Hialeah Gardens","11300 NW 87TH CT","Hialeah Gardens",33018,"305-820-8520","Mon, Tues,Wed, Sat.","10:00am - 6:00pm"
"29",-80.1426701292374,25.9604015853374,"Northeast Dade Aventura","2930 Aventura Blvd","Aventura",33180,"305-931-5512","Mon, Tues, Sat, Sun","10:00am - 6:00pm"
"30",-80.132324109041,25.8859958016152,"Bay Harbor Island","1165 95 ST ","Bay Harbor Islands",33154,"305-866-6241 ","Tues - Sat","10:00am - 6:00pm"
"31",-80.3103398415851,25.6069705871974,"Palmetto Bay","17641 OLD CUTLER RD","Palmetto Bay",33157,"305-232-1771","Mon, Fri, Sat.","10:00am - 6:00pm"
"32",-80.3265331181367,25.9341208562426,"Palm Springs North","17601 NW 78TH AVE","Miami",33015,"305 820-8564","Mon, Tues, Fri, Sat.","10:00am - 6:00pm"
"33",-80.2912618078565,25.7039554787579,"South Miami","6000 SUNSET DR","South Miami",33143,"305 667-6121","Mon, Fri, Sat.","10:00am - 6:00pm"
"34",-80.3480584007527,25.7484496501172,"West Dade Regional","9445 CORAL WAY","Miami",33165,"305 553-1134","Mon, Wed, Fri, Sat, Sun","10:00am - 6:00pm"
"35",-80.2431846368071,25.8616500480361,"North Central","9590 NW 27TH AVE","Miami",33147,"305 693-4541","Mon, Tues, Fri, Sat.","10:00am - 6:00pm"
"36",-80.2423848909642,25.9417844678721,"North Dade Regional","2455 NW 183RD ST","Miami Gardens",33056,"305 625-6424","Mon, Tues, Fri - Sun","10:00am - 6:00pm"
"37",-80.3655931485861,25.5707924550167,"South Dade Regional","10750 SW 211TH ST","Cutler Bay",33189,"305 233-8140","Mon, Tues, Fri, Sat, Sun","10:00am - 6:00pm"
"38",-80.1217134011444,25.9425680709728,"Sunny Isles Beach","18070 COLLINS AVE","Sunny Isles Beach",33160,"305 682-0726","Mon, Tues, Fri, Sat.","10:00am - 6:00pm"
"39",-80.1871209856394,25.8322766792737,"Lemon City","430 NE 61ST ST","Miami",33137,"305-757-0662","Mon, Tues, Thur, Sat, Sun","10:00am - 6:00pm"
"40",-80.2099421697995,25.8502323323527,"Arcola Lakes","8240 NW 7TH AVE","Miami-Dade",33150,"305-694 2707","Mon, Tues, Fri, Sat.","10:00am - 6:00pm"
"41",-80.3429319983956,25.6293323066903,"Coral Reef","9211 CORAL REEF DR","Miami-Dade",33157,"305-233-8324","Wed, Tues","12:00am - 8:00pm"
"42",-80.1626440797482,25.6962263656491,"Key Biscayne","299 CRANDON BLVD","Key Biscayne",33149,"305-361-6134","Mon, Thurs, Fri,Sat.","10:00am - 6:00pm"
"43",-80.4109975064751,25.7602617098932,"Tamiami","13250 SW 8TH ST","Miami",33184,"305 223-4758","Mon, Tues,Wed, Sat","10:00am - 6:00pm"
"44",-80.2006617662274,25.7866242665686,"Culmer/Overtown","350 NW 13TH ST","Miami",33136,"305-579-5322","Mon, Tue, Wed, Thur, Sat","10:00am - 6:00pm"
"45",-80.3711718490955,25.8273778483407,"Doral","10785 NW 58TH ST","Doral",33178,"305-716-9598","Mon, Wed,","12:00pm - 8:00pm"
"46",-80.2148300954998,25.7896961285592,"Civic Center Lib Kiosk","1501 NW 12TH AVE","Miami",33136,"305-324-0291","Mon - Fri","7:00am - 6:00pm"
"47",-80.3088590874168,25.9234751486726,"Miami Lakes","6699 WINDMILL GATE RD","Miami Lakes",33014,"305-822-6520","Mon, Tues.","12:00pm - 8:00pm"
"48",-80.2047223884669,25.8339369856982,"Edison Center","531 NW 62ND ST","Miami",33150,"305-757-0668","Mon - Fri","10:00am - 6:00pm"
"49",-80.4670366318389,25.4754631306048,"Homestead","700 N HOMESTEAD BLVD","Homestead",33030,"305-246-0168","Mon, Thurs, Fri, Sat.","10:00am - 6:00pm"
"50",-80.441613410983,25.6851817989334,"Kendale Lakes","15205 SW 88TH ST","Miami-Dade",33196,"305-388-0326","Mon, Thurs","12:00pm - 8:00pm"
