LAT,LONG,NAME,ADDRESS,CITY,ZIPCODE,TOTACRE,MNGTAGCY,MUNICIPAL_,AMPHITHEAT,AUDITORIUM,ARCHERY,BASEBALL,BASKETBALL,BEACH,BMXTRACK,BOATRAMP,CAMPGROUND,RVCAMPGROU,DOGPARK,EQUESTRIAN,FOOTBALL,FRISBEEGOL,GOLF,GOLFDRIVIN,GUNRANGE,GYMNASIUM,MARINA,MOUNTAINBI,NATURECENT,NATURETRAI,RAQUETBALL,REC_CENTER,ROLLERHOCK,SHELTER,SKATING,SOCCER,STADIUM,SWIMMING,TENNIS,TOTLOT,TRACK400,TRAIL,VOLLEYBALL,WETPLAYGRO,WIFI,ZOO,ART,BIKETRAIL,CANOE_LAUNCH,FITNESSZONE,PLAYGROUND,RESTROOM
-80.38057273,25.58093463,Roberta Hunter Park,SW 117TH AVE / SW 200TH ST,MIAMI,33189,0,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.38503273,25.66776466,Rock Ridge Park,10810 SW 117TH AVE,MIAMI,33176,4.7,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.34443272,25.63491465,Rockdale Park,9325 SW 146TH ST,MIAMI,33176,3.2,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.34866273,25.74446468,Rockway Park,9460 SW 27TH DR,MIAMI,33165,1.81,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
-80.2510427,25.8186447,Rocky Creek Park,3305 NW 48TH TER,MIAMI,33142,0.25,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.35010272,25.66719466,Ron Ehmann Park,10995 SW 97TH AVE,MIAMI,33176,0,MiamiDadePark,County,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.11979266,25.94097473,Sunny Isles Beach,FROM N END OF HAULOVER TO 195TH ST,SUNNY ISLES BEACH,33160,0,MiamiDadePark,County,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.16372804,25.69496729,Dog Park,450 CRANDON BLVD,Key Biscayne,33149,,KeyBiscaynePark,Municipal,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.1648197,25.69166565,Key Biscayne Community Center,10 Village Green Way,Key Biscayne,33149,,KeyBiscaynePark,Municipal,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No
-80.16237185,25.70176995,Calusa Park,6702 Crandon Boulevard,Key Biscayne,33149,,KeyBiscaynePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.15751115,25.68908334,Beach Park,N Club Dr,Key Biscayne,33149,,KeyBiscaynePark,Municipal,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.16121345,25.93201433,Y.E.S. Center/Marjorie & William McDonald Cen,17051 NE 19 Ave,North Miami Beach,33162,,NorthMiamiBeachPark,Municipal,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,
-80.15727286,25.90109488,,,,,,,Municipal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-80.27666533,25.82124151,Sansol,,,,,,Municipal,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.12351739,25.93019725,Gateway Park,151 Sunny Isles Blvd.,Sunny Isles Beach,33160,,SunnyIslesBeachPark,Municipal,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No
-80.12272345,25.92595173,Intracoastal Parks,16100 Collins Avenue,Sunny Isles beach,33160,,SunnyIslesBeachPark,Municipal,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No
-80.16733025,25.69377571,401 Hampton,401 Hampton Lane,Key Biscayne,33149,,KeyBiscaynePark,Municipal,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.16425912,25.69146987,Civic Park,530 Crandon Blvd,Key Biscayne,33149,,KeyBiscaynePark,Municipal,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.2499027,25.8295047,Martin Luther King Memorial Park,6160 NW 32ND CT,MIAMI,33142,10.13,MiamiDadePark,County,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.23707269,25.8194047,Marva Y. Bannerman Park & Pool,4830 NW 24TH AVE,MIAMI,33142,3.92,MiamiDadePark,County,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
-80.40768274,25.71067467,McMillan Park,6125 SW 133RD AVE,MIAMI,33183,8.6,MiamiDadePark,County,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
-80.40052274,25.57434463,MedSouth Park,20751 SW 129TH AVE,MIAMI,33177,4.49,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.2451727,25.80651469,Melrose Park,3050 NW 35TH ST,MIAMI,33142,0,MiamiDadePark,County,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
-80.11966266,25.8181147,Miami Beach,FROM SOUTH BEACH TO NW 86 ST,MIAMI BEACH,33141,0,MiamiDadePark,County,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.39941274,25.61339464,Zoo Miami,12400 SW 152ND ST,MIAMI,33177,740,MiamiDadePark,County,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
-80.22225269,25.87340471,Miami Shores Optimist Club,10915 NW 14TH AVE,MIAMI,33167,9.2,MiamiDadePark,County,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.24117269,25.77366469,Miami-Dade County Auditorium,2901 WEST FLAGLER ST,MIAMI,33125,9.47,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.34294273,25.8238047,Miami-Dade Regional Soccer Park,8795 NW 58TH ST,MIAMI,33178,33.57,MiamiDadePark,County,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
-80.30920271,25.73749467,A.D. Barnes Park,3401 SW 72ND AVE,MIAMI,33155,60.4,MiamiDadePark,County,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
-80.28939271,25.94987473,Acadia Park,5351 NW 195TH DR,MIAMI,33055,5.24,MiamiDadePark,County,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
