FID,om,yr,mo,dy,date,time,tz,st,stf,stn,mag,inj,fat,loss,closs,slat,slon,elat,elon,len,wid,fc
28,29,1950,3,16,1950-03-16,09:15:00,3,FL,12,1,2,0,0,3,0,29.65,-81.22,0,0,1.5,150,0
84,85,1950,5,8,1950-05-08,13:00:00,3,FL,12,2,1,0,0,3,0,29.13,-81.35,0,0,0.3,30,0
104,105,1950,5,15,1950-05-15,11:00:00,3,FL,12,3,1,0,0,4,0,28.58,-81.37,0,0,0.1,10,0
105,106,1950,5,15,1950-05-15,11:00:00,3,FL,12,4,2,0,0,4,0,28.5,-81.37,0,0,0.1,10,0
187,188,1950,8,31,1950-08-31,00:02:00,3,FL,12,6,0,0,0,3,0,30.8,-85.2,0,0,0.1,10,1
288,88,1951,5,26,1951-05-26,09:30:00,3,FL,12,2,1,0,3,5,0,29.85,-84.68,0,0,0.1,10,0
289,89,1951,5,26,1951-05-26,12:30:00,3,FL,12,3,1,0,0,4,0,30.18,-82.63,0,0,0.1,10,1
399,199,1951,7,22,1951-07-22,15:20:00,3,FL,12,4,2,0,0,3,0,27.73,-82.43,0,0,0.1,10,0
451,251,1951,12,4,1951-12-04,11:25:00,3,FL,12,5,1,0,0,3,0,28.12,-82.03,0,0,0.1,27,0
455,255,1951,12,18,1951-12-18,13:30:00,3,FL,12,6,1,0,0,3,0,30.35,-81.75,0,0,0.5,33,0
457,257,1951,12,18,1951-12-18,17:45:00,3,FL,12,8,2,0,0,4,0,27.75,-81.8,0,0,0.1,150,0
458,258,1951,12,18,1951-12-18,18:00:00,3,FL,12,9,1,0,0,3,0,27.77,-82.63,0,0,2.8,100,0
459,259,1951,12,18,1951-12-18,18:30:00,3,FL,12,7,2,0,0,2,0,27.78,-81.53,0,0,0.1,10,0
467,7,1952,1,28,1952-01-28,05:30:00,3,FL,12,1,1,3,0,4,0,30.47,-85.25,0,0,0.5,17,0
470,10,1952,1,28,1952-01-28,06:45:00,3,FL,12,2,2,0,0,4,0,30.5,-84.23,0,0,1.5,33,0
490,30,1952,2,20,1952-02-20,09:10:00,3,FL,12,3,2,4,0,4,0,30.17,-85.7,0,0,1.5,73,0
491,31,1952,2,26,1952-02-26,10:20:00,3,FL,12,4,1,0,0,3,0,26.57,-80.12,0,0,1.5,17,0
549,89,1952,4,4,1952-04-04,09:20:00,3,FL,12,5,1,1,0,3,0,30.17,-85.7,0,0,0.1,20,0
607,147,1952,5,23,1952-05-23,13:30:00,3,FL,12,6,0,1,0,3,0,28.55,-82.38,0,0,0.1,10,0
645,185,1952,6,29,1952-06-29,11:00:00,3,FL,12,9,1,0,0,3,0,27.75,-82.65,0,0,0.1,10,0
684,224,1952,8,16,1952-08-16,14:45:00,3,FL,12,10,1,0,0,3,0,26.77,-80.22,0,0,0.2,17,0
705,5,1953,1,9,1953-01-09,02:30:00,3,FL,12,1,1,0,0,4,0,28.57,-82.48,0,0,0.5,10,0
706,6,1953,1,9,1953-01-09,06:00:00,3,FL,12,2,2,12,0,4,0,27.83,-82.17,27.95,-82.1,9.2,100,0
707,7,1953,1,9,1953-01-09,06:15:00,3,FL,12,3,1,0,0,2,0,28.57,-81.75,0,0,0.1,10,0
773,73,1953,4,6,1953-04-06,11:00:00,3,FL,12,4,2,0,0,2,0,30.17,-85.7,0,0,0.1,10,0
779,79,1953,4,12,1953-04-12,07:00:00,3,FL,12,5,2,0,0,3,0,30.37,-85.45,0,0,0.1,10,0
780,80,1953,4,13,1953-04-13,07:45:00,3,FL,12,6,1,1,0,3,0,27.38,-80.33,0,0,2,10,0
917,217,1953,6,5,1953-06-05,08:45:00,3,FL,12,9,0,0,0,1,0,27.82,-82.7,0,0,0.1,10,0
1046,347,1953,7,24,1953-07-24,13:00:00,3,FL,12,11,1,1,0,2,0,28.43,-81.37,0,0,0.1,17,1
1065,366,1953,8,10,1953-08-10,14:30:00,3,FL,12,12,1,0,0,2,0,30.17,-81.7,0,0,1,67,0
