Date.Of.Stop,Time.Of.Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal.Injury,Property.Damage,Fatal,Commercial.License,HAZMAT,Commercial.Vehicle,Alcohol,Work.Zone,State,VehicleType,Year,Make,Model,Color,Violation.Type,Charge,Article,Contributed.To.Accident,Race,Gender,Driver.City,Driver.State,DL.State,Arrest.Type,Geolocation
05/17/2013,02:52:00,MCP,5th district, Germantown,DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,S/B GERMANTOWN RD @ CLOPPER RD,39.1602933333333,-77.2787166666667,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2007,MITSUBISHI,GALANT,GRAY,Citation,21-204(d),Transportation Article,No,BLACK,M,LAUDERHILL,FL,FL,A - Marked Patrol,(39.1602933333333, -77.2787166666667)
05/27/2013,14:33:00,MCP,6th district, Gaithersburg / Montgomery Village,FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,SB 270 / SHADY GROVE,39.0984526333333,-77.2045743,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2012,MAZDA,3,BLUE,Citation,13-409(b),Transportation Article,Yes,WHITE,M,WINTER HAVEN,FL,FL,A - Marked Patrol,(39.0984526333333, -77.2045743)
05/18/2015,12:56:00,MCP,6th district, Gaithersburg / Montgomery Village,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,WATKINS MILL/TAVIS,39.1652683333333,-77.2148716666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,CHEVY,MALIBU,BEIGE,Citation,16-101(a),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,FL,A - Marked Patrol,(39.1652683333333, -77.2148716666667)
03/19/2012,16:30:00,MCP,2nd district, Bethesda,DRIVER FAILURE TO STOP AT STOP SIGN LINE,CLARENDON RD @ ELM ST. N/,38.9820397333333,-77.1003435333333,No,No,No,No,No,No,No,No,No,No,MD,03 - Station Wagon,2010,TOYOTA,HIGHLANDER,BLACK,Citation,21-707(a),Transportation Article,No,WHITE,M,PALM BCH GRDNS,FL,FL,A - Marked Patrol,(38.9820397333333, -77.1003435333333)
09/15/2012,09:27:00,MCP,1st district, Rockville,EXCEEDING MAXIMUM SPEED: 64 MPH IN A POSTED 55 MPH ZONE,270N @ MONTROSE RD,39.0447048333333,-77.1491249166667,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,1999,MITSUBISHI,MONTARO,GREEN, DK,Citation,21-801.1,Transportation Article,No,WHITE,M,MIDDLEBURG,FL,FL,Q - Marked Laser,(39.0447048333333, -77.1491249166667)
05/18/2015,12:56:00,MCP,6th district, Gaithersburg / Montgomery Village,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUT-OF-STATE LICENSE,WATKINS MILL/TAVIS,39.1652683333333,-77.2148716666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,CHEVY,MALIBU,BEIGE,Citation,16-303(f),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,FL,A - Marked Patrol,(39.1652683333333, -77.2148716666667)
05/18/2015,12:56:00,MCP,6th district, Gaithersburg / Montgomery Village,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17-106, 26-204, 26-206, 27-103,WATKINS MILL/TAVIS,39.1652683333333,-77.2148716666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,CHEVY,MALIBU,BEIGE,Citation,16-303(h),Transportation Article,No,WHITE,M,GAITHERSBURG,MD,FL,A - Marked Patrol,(39.1652683333333, -77.2148716666667)
12/31/2015,22:29:00,MCP,3rd district, Silver Spring,DRIVER CHANGING LANES WHEN UNSAFE,GEORGIA AVE / SEMINARY PL,NA,NA,No,No,No,No,No,No,No,No,No,No,FL,02 - Automobile,1997,JAGUAR,XK8,RED,Citation,21-309(b),Transportation Article,No,WHITE,M,BAL HARBOUR,FL,FL,A - Marked Patrol,
04/19/2014,00:06:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,I-270 @ I-495,38.9999366666667,-77.15779,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014,BMW,320I,BLACK,Citation,16-115(g),Transportation Article,No,BLACK,M,WASHINGTON,DC,FL,A - Marked Patrol,(38.9999366666667, -77.15779)
11/02/2015,00:30:00,MCP,5th district, Germantown,DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,CRYSTAL ROCK DRIVE AND 118,39.18247,-77.2589933333333,No,No,No,No,No,No,No,No,No,No,AL,02 - Automobile,2011,KIA,SOUL,GREEN, LGT,Citation,13-411(f),Transportation Article,No,WHITE,F,PANAMA CITY,FL,FL,A - Marked Patrol,(39.18247, -77.2589933333333)
